id,name,type,category,power,accuracy,pp
1,몸통박치기,노말,물리,40,100,35
2,태권당수,격투,물리,50,100,25
3,더블슬랩,노말,물리,15,85,10
4,연속펀치,노말,물리,18,85,15
5,메가톤펀치,노말,물리,80,85,20
6,돈화폐,노말,물리,40,100,20
7,화염펀치,불꽃,물리,75,100,15
8,냉동펀치,얼음,물리,75,100,15
9,번개펀치,전기,물리,75,100,15
10,할퀴기,노말,물리,40,100,35
11,집게가위,노말,물리,55,100,30
12,바늘팔천권,벌레,물리,25,95,20
13,칼춤,노말,변화,0,0,20
14,베어가르기,노말,물리,70,100,20
15,날개치기,비행,물리,60,100,35
16,날려버리기,노말,물리,0,0,20
17,날개쉬기,비행,변화,0,0,10
18,회오리,노말,특수,40,100,35
19,파리채,벌레,물리,0,0,20
20,슬램,노말,물리,80,75,20
21,덩굴채찍,풀,물리,45,100,25
22,짓밟기,노말,물리,65,100,20
23,이단차기,격투,물리,30,100,30
24,메가톤킥,노말,물리,120,75,5
25,점프킥,격투,물리,100,95,10
26,회전킥,격투,물리,60,85,15
27,모래뿌리기,땅,변화,0,100,15
28,박치기,노말,물리,70,100,15
29,뿔찌르기,노말,물리,65,100,25
30,난동부리기,노말,물리,120,100,10
31,몸통박치기,노말,물리,50,90,35
32,꼬리흔들기,노말,변화,0,100,30
33,독침,독,물리,15,100,35
34,두번침,벌레,물리,25,100,20
35,핀미사일,벌레,물리,25,95,20
36,째려보기,노말,변화,0,100,30
37,물어뜯기,어둠,물리,60,100,25
38,울부짖기,노말,변화,0,100,40
39,노래하기,노말,변화,0,55,15
40,초음파,노말,변화,0,55,20
41,음파공격,노말,특수,90,100,10
42,마비가루,풀,변화,0,75,30
43,수면가루,풀,변화,0,75,15
44,꽃잎댄스,풀,특수,120,100,10
45,실뿜기,벌레,변화,0,95,40
46,용의분노,드래곤,특수,0,100,10
47,불꽃스핀,불꽃,물리,35,85,15
48,전기쇼크,전기,특수,40,100,30
49,10만볼트,전기,특수,90,100,15
50,전기자석파,전기,변화,0,100,20
51,번개,전기,특수,110,70,10
52,천둥의파동,전기,특수,0,100,20
53,물총,물,특수,40,100,25
54,하이드로펌프,물,특수,110,80,5
55,파도타기,물,특수,90,100,15
56,냉동빔,얼음,특수,90,100,10
57,눈보라,얼음,특수,110,70,5
58,사이코키네시스,에스퍼,특수,90,100,10
59,거품광선,물,특수,65,100,20
60,오로라빔,얼음,특수,65,100,20
61,파괴광선,노말,특수,150,90,5
62,쪼기,비행,물리,35,100,35
63,드릴쪼기,비행,물리,80,100,20
64,지구던지기,격투,물리,0,100,20
65,메가톤킥,격투,물리,120,75,5
66,지진,땅,물리,100,100,10
67,굳히기,땅,변화,0,0,30
68,구멍파기,땅,물리,80,100,10
69,독가스,독,변화,0,90,40
70,헤롱헤롱,독,변화,0,100,20
71,흡혈,벌레,물리,80,100,15
72,메가드레인,풀,특수,40,100,15
73,씨뿌리기,풀,변화,0,90,10
74,성장,노말,변화,0,0,20
75,잎날가르기,풀,물리,55,95,25
76,솔라빔,풀,특수,120,100,10
77,독가루,독,변화,0,75,35
78,꽃잎춤,풀,특수,120,100,10
79,실뿜기,벌레,변화,0,95,40
80,용의분노,드래곤,특수,0,100,10
81,불꽃스핀,불꽃,물리,35,85,15
82,전기쇼크,전기,특수,40,100,30
83,10만볼트,전기,특수,90,100,15
84,전기자석파,전기,변화,0,100,20
85,번개,전기,특수,110,70,10
86,천둥의파동,전기,특수,0,100,20
87,스톤샤워,바위,물리,25,90,10
88,지진,땅,물리,100,100,10
89,균열,땅,물리,0,30,5
90,구멍파기,땅,물리,80,100,10
91,독가스,독,변화,0,90,40
92,헤롱헤롱,독,변화,0,100,20
93,혼란,에스퍼,변화,0,100,10
94,사이코키네시스,에스퍼,특수,90,100,10
95,최면술,에스퍼,변화,0,60,20
96,명상,에스퍼,변화,0,0,40
97,민첩성,에스퍼,변화,0,0,30
98,순간이동,에스퍼,변화,0,0,20
99,밤의그림자,고스트,특수,0,100,15
100,따라하기,노말,변화,0,0,20
101,자폭,노말,물리,200,100,5
102,알폭탄,노말,물리,100,75,10
103,핥기,고스트,물리,30,100,30
104,스모그,독,특수,30,70,20
105,오물폭탄,독,특수,90,100,10
106,뼈다귀부메랑,땅,물리,50,90,10
107,잠자기,에스퍼,변화,0,0,10
108,바위낙하,바위,물리,50,90,15
109,날카로운바늘,벌레,물리,25,95,20
110,꺾꺾,노말,변화,0,100,40
111,바다회오리,물,특수,0,0,20
112,경화,노말,변화,0,0,30
113,작아지기,노말,변화,0,0,20
114,연막,노말,변화,0,100,20
115,괴상한빛,에스퍼,변화,0,100,10
116,철벽,강철,변화,0,0,15
117,웅크리기,독,변화,0,100,40
118,물러서기,노말,변화,0,0,40
119,빛의벽,에스퍼,변화,0,0,30
120,흑안개,얼음,변화,0,0,30
121,리플렉터,에스퍼,변화,0,0,20
122,집중,노말,변화,0,0,30
123,째려보기,노말,변화,0,100,30
124,메트로놈,노말,변화,0,0,10
125,거울이동,노말,변화,0,0,20
126,자폭,노말,물리,200,100,5
127,알폭탄,노말,물리,100,75,10
128,골분부메랑,땅,물리,50,90,10
129,잠자기,에스퍼,변화,0,0,10
130,바위낙하,바위,물리,50,90,15
131,변신,노말,변화,0,0,10
132,거품,물,특수,40,100,30
133,현혹,노말,변화,0,100,10
134,포자,풀,변화,0,100,15
135,번쩍번쩍,노말,변화,0,100,20
136,파도타기,물,특수,90,100,15
137,스카이어퍼,격투,물리,130,90,5
138,독액,독,특수,65,100,10
139,신비의보호,노말,변화,0,0,25
140,산성비,독,특수,0,0,5
141,저장,노말,변화,0,0,20
142,분해,노말,물리,90,85,20
143,트라이어택,노말,특수,80,100,10
144,분노,노말,물리,20,100,20
145,순간이동,에스퍼,변화,0,0,20
146,밤의그림자,고스트,특수,0,100,15
147,따라하기,노말,변화,0,0,20
148,자폭,노말,물리,200,100,5
149,알폭탄,노말,물리,100,75,10
150,핥기,고스트,물리,30,100,30
151,스모그,독,특수,30,70,20
152,오물폭탄,독,특수,90,100,10
153,뼈다귀부메랑,땅,물리,50,90,10
154,잠자기,에스퍼,변화,0,0,10
155,바위낙하,바위,물리,50,90,15
156,변신,노말,변화,0,0,10
157,거품,물,특수,40,100,30
158,현혹,노말,변화,0,100,10
159,포자,풀,변화,0,100,15
160,번쩍번쩍,노말,변화,0,100,20
161,크랩해머,물,물리,100,90,10
162,대폭발,노말,물리,250,100,5
